node:Y:own:rel_shallow=det, P counts: 11146, Prec%: 100.0%, Cov%: 54.2%,  Order: left
    node:X:own:rel_shallow=conj:appos, P counts: 15, Prec%: 40.0%, Cov%: 7.3%,  Order: left
    node:X:child:Gender=Masc, P counts: 135, Prec%: 40.0%, Cov%: 65.9%,  Order: left
  node:X:child:upos=PUNCT, P counts: 1769, Prec%: 36.3%, Cov%: 79.1%,  Order: left
    node:Y:own:rel_shallow=cc, P counts: 8, Prec%: 100.0%, Cov%: 1.2%,  Order: left
    node:Y:own:rel_shallow=dislocated, P counts: 7, Prec%: 100.0%, Cov%: 1.1%,  Order: left
    node:Y:child:Shared=Yes, P counts: 81, Prec%: 100.0%, Cov%: 7.2%,  Order: right
    node:Y:own:rel_shallow=conj:coord, P counts: 335, Prec%: 100.0%, Cov%: 29.8%,  Order: right
    node:X:own:upos=PROPN, P counts: 228, Prec%: 98.7%, Cov%: 20.0%,  Order: right
    node:Y:own:upos=PROPN, P counts: 141, Prec%: 95.7%, Cov%: 12.0%,  Order: right
    node:Y:child:upos=SCONJ, P counts: 58, Prec%: 74.1%, Cov%: 3.8%,  Order: right
    node:Y:own:upos=SCONJ, P counts: 79, Prec%: 72.2%, Cov%: 8.9%,  Order: left
    node:Y:child:PronType=Art, P counts: 132, Prec%: 72.0%, Cov%: 8.4%,  Order: right
  node:X:child:rel_shallow=mod, P counts: 1789, Prec%: 21.2%, Cov%: 46.6%,  Order: left
    node:Y:own:rel_shallow=cc, P counts: 11, Prec%: 100.0%, Cov%: 2.9%,  Order: left
    node:Y:own:rel_shallow=conj:coord, P counts: 324, Prec%: 100.0%, Cov%: 23.0%,  Order: right
    node:Y:child:upos=SCONJ, P counts: 67, Prec%: 94.0%, Cov%: 4.5%,  Order: right
    node:Y:own:upos=SCONJ, P counts: 54, Prec%: 57.4%, Cov%: 8.2%,  Order: left
    node:Y:own:upos=ADP, P counts: 465, Prec%: 45.4%, Cov%: 55.7%,  Order: left
    node:X:own:VerbForm=Fin, P counts: 842, Prec%: 42.2%, Cov%: 93.7%,  Order: left
    node:X:own:rel_deep=tense, P counts: 16, Prec%: 37.5%, Cov%: 1.6%,  Order: left
    node:Y:child:Person=1, P counts: 40, Prec%: 30.0%, Cov%: 3.2%,  Order: left
node:Y:own:rel_shallow=mod, P counts: 12529, Prec%: 74.1%, Cov%: 23.8%,  Order: right
  node:Y:own:rel_deep=relcl, P counts: 537, Prec%: 100.0%, Cov%: 5.8%,  Order: right
  node:Y:own:upos=PROPN, P counts: 514, Prec%: 99.4%, Cov%: 5.5%,  Order: right
    node:X:child:rel_shallow=det, P counts: 318, Prec%: 100.0%, Cov%: 62.2%,  Order: right
  node:Y:own:NumType=Ord, P counts: 187, Prec%: 91.4%, Cov%: 5.3%,  Order: left
    node:X:child:Gender=Masc, P counts: 71, Prec%: 100.0%, Cov%: 41.5%,  Order: left
    node:X:child:upos=ADP, P counts: 58, Prec%: 100.0%, Cov%: 33.9%,  Order: left
    node:X:parent:upos=ADP, P counts: 109, Prec%: 91.7%, Cov%: 58.5%,  Order: left
    node:X:own:Gender=Masc, P counts: 108, Prec%: 11.1%, Cov%: 75.0%,  Order: right
    node:X:own:rel_shallow=comp:obj, P counts: 121, Prec%: 9.9%, Cov%: 75.0%,  Order: right
    node:X:own:Number=Sing, P counts: 166, Prec%: 9.0%, Cov%: 93.8%,  Order: right
  node:X:own:upos=ADV, P counts: 136, Prec%: 89.0%, Cov%: 3.7%,  Order: left
    node:Y:child:rel_shallow=det, P counts: 6, Prec%: 100.0%, Cov%: 5.0%,  Order: left
    node:X:parent:upos=ADJ, P counts: 16, Prec%: 100.0%, Cov%: 13.2%,  Order: left
    node:Y:own:upos=ADV, P counts: 116, Prec%: 96.6%, Cov%: 92.6%,  Order: left
    node:Y:own:Number=Sing, P counts: 7, Prec%: 71.4%, Cov%: 33.3%,  Order: right
    node:X:child:rel_shallow=mod, P counts: 14, Prec%: 35.7%, Cov%: 33.3%,  Order: right
  node:X:child:rel_shallow=det, P counts: 5033, Prec%: 80.9%, Cov%: 43.8%,  Order: right
    node:Y:own:upos=VERB, P counts: 978, Prec%: 99.9%, Cov%: 24.0%,  Order: right
    node:Y:own:upos=NOUN, P counts: 280, Prec%: 99.3%, Cov%: 6.8%,  Order: right
    node:Y:own:NumType=Ord, P counts: 141, Prec%: 96.5%, Cov%: 14.2%,  Order: left
    node:Y:own:ExtPos=ADV, P counts: 28, Prec%: 85.7%, Cov%: 2.5%,  Order: left
    node:Y:own:upos=ADV, P counts: 124, Prec%: 71.8%, Cov%: 9.3%,  Order: left
    node:X:child:upos=SCONJ, P counts: 24, Prec%: 62.5%, Cov%: 1.6%,  Order: left
    node:Y:own:upos=ADP, P counts: 55, Prec%: 54.5%, Cov%: 3.1%,  Order: left
    node:Y:own:upos=NUM, P counts: 185, Prec%: 51.4%, Cov%: 9.9%,  Order: left
    node:Y:own:has_child=No, P counts: 3242, Prec%: 27.7%, Cov%: 93.4%,  Order: left
  node:X:own:upos=ADP, P counts: 142, Prec%: 75.4%, Cov%: 3.3%,  Order: left
    node:X:own:rel_shallow=root, P counts: 5, Prec%: 100.0%, Cov%: 14.3%,  Order: right
    node:Y:own:upos=NOUN, P counts: 29, Prec%: 93.1%, Cov%: 25.2%,  Order: left
    node:Y:child:rel_shallow=punct, P counts: 19, Prec%: 89.5%, Cov%: 48.6%,  Order: right
    node:X:child:upos=ADP, P counts: 17, Prec%: 82.4%, Cov%: 13.1%,  Order: left
    node:X:own:rel_shallow=mod, P counts: 89, Prec%: 80.9%, Cov%: 67.3%,  Order: left
    node:Y:child:Gender=Fem, P counts: 9, Prec%: 77.8%, Cov%: 20.0%,  Order: right
    node:X:own:rel_shallow=udep, P counts: 23, Prec%: 39.1%, Cov%: 25.7%,  Order: right
    node:X:parent:Gender=Fem, P counts: 15, Prec%: 33.3%, Cov%: 14.3%,  Order: right
  node:X:own:upos=ADJ, P counts: 328, Prec%: 73.2%, Cov%: 7.4%,  Order: left
    node:Y:own:upos=ADV, P counts: 237, Prec%: 97.5%, Cov%: 96.2%,  Order: left
    node:Y:own:upos=ADP, P counts: 62, Prec%: 95.2%, Cov%: 67.0%,  Order: right
    node:Y:own:has_child=No, P counts: 228, Prec%: 94.3%, Cov%: 89.6%,  Order: left
    node:Y:own:ExtPos=ADV, P counts: 7, Prec%: 85.7%, Cov%: 2.5%,  Order: left
    node:Y:child:upos=ADP, P counts: 13, Prec%: 84.6%, Cov%: 12.5%,  Order: right
    node:X:parent:Tense=Fut, P counts: 6, Prec%: 83.3%, Cov%: 2.1%,  Order: left
    node:X:parent:Number=Sing, P counts: 201, Prec%: 76.6%, Cov%: 64.2%,  Order: left
    node:X:own:rel_shallow=root, P counts: 12, Prec%: 75.0%, Cov%: 10.2%,  Order: right
    node:Y:child:upos=ADV, P counts: 25, Prec%: 28.0%, Cov%: 8.0%,  Order: right
  node:Y:own:Polarity=Neg, P counts: 749, Prec%: 64.0%, Cov%: 14.8%,  Order: left
    node:X:own:Gender=Masc, P counts: 20, Prec%: 100.0%, Cov%: 4.2%,  Order: left
    node:X:own:VerbForm=Inf, P counts: 49, Prec%: 98.0%, Cov%: 10.0%,  Order: left
    node:X:own:rel_shallow=mod, P counts: 107, Prec%: 72.9%, Cov%: 16.3%,  Order: left
    node:X:parent:upos=NOUN, P counts: 91, Prec%: 72.5%, Cov%: 13.8%,  Order: left
    node:Y:own:has_child=No, P counts: 732, Prec%: 64.8%, Cov%: 99.0%,  Order: left
    node:X:parent:position=after, P counts: 16, Prec%: 50.0%, Cov%: 3.0%,  Order: right
    node:X:child:Polarity=Neg, P counts: 562, Prec%: 46.1%, Cov%: 95.9%,  Order: right
    node:X:own:VerbForm=Fin, P counts: 613, Prec%: 41.8%, Cov%: 94.8%,  Order: right
    node:X:child:rel_shallow=mod, P counts: 638, Prec%: 40.9%, Cov%: 96.7%,  Order: right
    node:X:child:rel_shallow=conj:coord, P counts: 64, Prec%: 37.5%, Cov%: 8.9%,  Order: right
  node:Y:child:upos=PUNCT, P counts: 1850, Prec%: 39.1%, Cov%: 22.4%,  Order: left
    node:X:own:upos=PROPN, P counts: 153, Prec%: 100.0%, Cov%: 13.6%,  Order: right
    node:Y:child:Shared=Yes, P counts: 29, Prec%: 100.0%, Cov%: 2.6%,  Order: right
    node:X:parent:upos=ADP, P counts: 216, Prec%: 100.0%, Cov%: 19.2%,  Order: right
    node:Y:child:rel_deep=agent, P counts: 41, Prec%: 97.6%, Cov%: 3.6%,  Order: right
    node:Y:child:upos=SCONJ, P counts: 78, Prec%: 79.5%, Cov%: 5.5%,  Order: right
    node:X:child:rel_shallow=mod, P counts: 996, Prec%: 67.1%, Cov%: 59.3%,  Order: right
    node:Y:own:upos=SCONJ, P counts: 109, Prec%: 67.0%, Cov%: 10.1%,  Order: left
    node:X:child:rel_shallow=conj:coord, P counts: 114, Prec%: 65.8%, Cov%: 10.4%,  Order: left
    node:Y:child:PronType=Art, P counts: 80, Prec%: 61.3%, Cov%: 4.4%,  Order: right
    node:Y:own:upos=ADP, P counts: 732, Prec%: 61.1%, Cov%: 61.7%,  Order: left
  node:Y:own:has_child=No, P counts: 6542, Prec%: 32.3%, Cov%: 65.3%,  Order: left
    node:Y:own:PronType=Int, P counts: 31, Prec%: 100.0%, Cov%: 1.5%,  Order: left
    node:Y:own:upos=PROPN, P counts: 279, Prec%: 100.0%, Cov%: 6.3%,  Order: right
    node:X:own:rel_shallow=cc, P counts: 41, Prec%: 100.0%, Cov%: 0.9%,  Order: right
    node:Y:own:upos=VERB, P counts: 155, Prec%: 99.4%, Cov%: 3.5%,  Order: right
    node:Y:own:upos=NOUN, P counts: 218, Prec%: 98.6%, Cov%: 4.9%,  Order: right
    node:X:own:upos=ADV, P counts: 113, Prec%: 94.7%, Cov%: 5.1%,  Order: left
node:Y:own:has_child=No, P counts: 26057, Prec%: 66.1%, Cov%: 83.8%,  Order: left
  node:Y:own:rel_shallow=det, P counts: 11068, Prec%: 100.0%, Cov%: 64.3%,  Order: left
  node:Y:own:rel_shallow=flat, P counts: 745, Prec%: 100.0%, Cov%: 8.4%,  Order: right
  node:Y:own:rel_shallow=cc, P counts: 1551, Prec%: 99.9%, Cov%: 9.0%,  Order: left
  node:Y:own:upos=VERB, P counts: 642, Prec%: 99.8%, Cov%: 7.3%,  Order: right
  node:Y:own:upos=NOUN, P counts: 1861, Prec%: 99.6%, Cov%: 21.0%,  Order: right
    node:Y:own:rel_shallow=subj, P counts: 5, Prec%: 100.0%, Cov%: 62.5%,  Order: left
    node:Y:own:rel_shallow=comp:obj, P counts: 1597, Prec%: 100.0%, Cov%: 86.2%,  Order: right
    node:X:child:Number=Sing, P counts: 166, Prec%: 100.0%, Cov%: 9.0%,  Order: right
    node:X:own:Person=3, P counts: 63, Prec%: 9.5%, Cov%: 75.0%,  Order: left
    node:X:own:Mood=Ind, P counts: 67, Prec%: 9.0%, Cov%: 75.0%,  Order: left
    node:X:own:VerbForm=Fin, P counts: 70, Prec%: 8.6%, Cov%: 75.0%,  Order: left
    node:X:own:upos=VERB, P counts: 111, Prec%: 5.4%, Cov%: 75.0%,  Order: left
  node:Y:own:rel_shallow=unk, P counts: 385, Prec%: 98.7%, Cov%: 4.3%,  Order: right
    node:Y:own:InIdiom=Yes, P counts: 371, Prec%: 100.0%, Cov%: 97.6%,  Order: right
    node:Y:own:upos=PRON, P counts: 9, Prec%: 55.6%, Cov%: 100.0%,  Order: left
    node:X:parent:VerbForm=Fin, P counts: 105, Prec%: 4.8%, Cov%: 100.0%,  Order: left
    node:X:parent:Person=3, P counts: 119, Prec%: 4.2%, Cov%: 100.0%,  Order: left
  node:X:own:upos=ADJ, P counts: 397, Prec%: 96.5%, Cov%: 2.2%,  Order: left
    node:X:own:rel_shallow=conj:coord, P counts: 115, Prec%: 100.0%, Cov%: 30.0%,  Order: left
    node:X:parent:Number=Sing, P counts: 229, Prec%: 99.1%, Cov%: 59.3%,  Order: left
    node:X:parent:upos=AUX, P counts: 87, Prec%: 98.9%, Cov%: 22.5%,  Order: left
    node:Y:own:upos=ADV, P counts: 216, Prec%: 98.1%, Cov%: 55.4%,  Order: left
    node:Y:own:upos=ADJ, P counts: 8, Prec%: 87.5%, Cov%: 50.0%,  Order: right
  node:Y:own:NumType=Ord, P counts: 185, Prec%: 91.4%, Cov%: 1.0%,  Order: left
    node:X:own:upos=NOUN, P counts: 183, Prec%: 91.8%, Cov%: 99.4%,  Order: left
    node:X:parent:upos=ADP, P counts: 107, Prec%: 91.6%, Cov%: 58.0%,  Order: left
    node:X:own:rel_shallow=comp:obj, P counts: 119, Prec%: 10.1%, Cov%: 75.0%,  Order: right
    node:X:own:Number=Sing, P counts: 164, Prec%: 9.1%, Cov%: 93.8%,  Order: right
node:X:own:upos=ADJ, P counts: 885, Prec%: 46.7%, Cov%: 2.0%,  Order: left
  node:Y:own:rel_shallow=cc, P counts: 107, Prec%: 100.0%, Cov%: 25.9%,  Order: left
  node:Y:own:rel_shallow=det, P counts: 62, Prec%: 100.0%, Cov%: 15.0%,  Order: left
  node:Y:own:rel_shallow=conj:coord, P counts: 137, Prec%: 100.0%, Cov%: 29.0%,  Order: right
  node:Y:own:upos=DET, P counts: 63, Prec%: 100.0%, Cov%: 15.3%,  Order: left
  node:X:own:Shared=Yes, P counts: 8, Prec%: 100.0%, Cov%: 1.7%,  Order: right
  node:Y:child:rel_shallow=comp:obj, P counts: 285, Prec%: 99.3%, Cov%: 60.0%,  Order: right
    node:Y:child:upos=NOUN, P counts: 195, Prec%: 100.0%, Cov%: 68.9%,  Order: right
    node:Y:child:Gender=Fem, P counts: 117, Prec%: 100.0%, Cov%: 41.3%,  Order: right
    node:X:own:rel_shallow=comp:pred, P counts: 98, Prec%: 100.0%, Cov%: 34.6%,  Order: right
  node:Y:own:upos=ADJ, P counts: 128, Prec%: 99.2%, Cov%: 26.9%,  Order: right
  node:Y:own:upos=ADV, P counts: 241, Prec%: 95.9%, Cov%: 55.9%,  Order: left
    node:X:child:upos=ADV, P counts: 8, Prec%: 100.0%, Cov%: 3.5%,  Order: left
    node:X:parent:Number=Sing, P counts: 154, Prec%: 96.8%, Cov%: 64.5%,  Order: left
  node:Y:child:upos=ADP, P counts: 63, Prec%: 95.2%, Cov%: 12.7%,  Order: right
    node:Y:child:rel_shallow=comp:obl, P counts: 13, Prec%: 100.0%, Cov%: 21.7%,  Order: right
    node:Y:child:rel_shallow=comp:obj, P counts: 22, Prec%: 100.0%, Cov%: 36.7%,  Order: right
    node:Y:child:rel_shallow=punct, P counts: 24, Prec%: 100.0%, Cov%: 40.0%,  Order: right
    node:X:own:rel_shallow=mod, P counts: 27, Prec%: 100.0%, Cov%: 45.0%,  Order: right
    node:X:own:Gender=Masc, P counts: 30, Prec%: 100.0%, Cov%: 50.0%,  Order: right
    node:Y:child:rel_shallow=conj:coord, P counts: 27, Prec%: 100.0%, Cov%: 45.0%,  Order: right
    node:X:parent:Mood=Ind, P counts: 22, Prec%: 95.5%, Cov%: 35.0%,  Order: right
